,Source,Target,Weight,Type
414,Scott_TheAbbot1,Cooper_TheBravo1,13,undirected
415,Scott_TheAbbot1,Edgeworth_Helen,2,undirected
416,Scott_TheAbbot1,Irving_BracebridgeHall1,12,undirected
417,Scott_TheAbbot1,Irving_SketchBookOfGeoffreyCrayon_1,1,undirected
418,Scott_TheAbbot1,Quincey_Klosterheim_1,2,undirected
419,Scott_TheAbbot1,Scott_ChroniclesOftheCanongate1,50,undirected
420,Scott_TheAbbot1,Scott_Woodstock1,40,undirected
421,Scott_Woodstock1,Bird_Calavar,36,undirected
422,Scott_Woodstock1,Bird_SheppardLee1,2,undirected
423,Scott_Woodstock1,BrownCharlesBrockden_Wieland,1,undirected
424,Scott_Woodstock1,Cooper_TheBravo1,18,undirected
425,Scott_Woodstock1,Irving_BracebridgeHall1,12,undirected
426,Scott_Woodstock1,Scott_ChroniclesOftheCanongate1,60,undirected
427,Scott_Woodstock1,Scott_TheAbbot1,40,undirected
428,UNKNOWN_ADream_1831,Lippard_BelOfPrairieEden,2,undirected
429,UNKNOWN_ADream_1831,Poe_Assignation_1834,1,undirected
430,UNKNOWN_ADream_1831,Poe_Berenice_1835,15,undirected
431,UNKNOWN_ADream_1831,Poe_FallOfHouseUsher,19,undirected
432,UNKNOWN_ADream_1831,Poe_Ligeia_1838,4,undirected
433,UNKNOWN_ADream_1831,Poe_MaskOfTheRedDeath,19,undirected
434,UNKNOWN_ADream_1831,Poe_Raven,1,undirected
