"ADream_1831" "ArthurMervyn_1793" "Assignation_1834" "BlithedaleRomance" "ChroniclesOftheCanongate2" "Destiny2" "HarryandLucy1" "HistOfNY" "Klosterheim_2" "LastDayOfPompeii3" "LastMohicans_4" "MinorMorals1" "PericlesAndAspesia2" "PiazzaTales" "QuakerCity" "RealLifeInLondon_1" "RecollectionsofSouthernMatron_2" "Rookwood1" "SheppardLee2" "Spaewife3" "StLeon_1" "TheDoctor2"
"by" 0.24896265560166 0.807782623280778 0.248306997742664 0.437981090756501 0.650406504065041 0.373522634356649 0.574431679296016 0.821364616452874 0.62749572162008 0.688039088597497 0.641984712058976 0.638114400689853 0.560104485859245 0.661769322534062 0.499294977000069 0.767810201976508 0.637148157109444 0.529588629219626 0.58453830264141 0.573097180907677 0.544072473577342 0.557870206906292
"my" 0.580912863070539 2.12613217041261 0.835214446952596 0.831377280058747 0.924645067346196 0.605812829852078 0.582579646378229 0.220187844900048 0.262407301768397 0.528493792690831 0.288349065585811 0.402414486921529 0.650524940975536 0.424436491492434 0.534738756231556 0.247063521112701 1.12912331639648 0.4646713133798 1.61443912158104 0.433916436972955 1.9459051387515 0.291881458465739
"be" 0.0829875518672199 0.95270043609527 0.451467268623025 0.697622575695983 0.837277029486713 0.747045268713298 0.808685732909639 0.40839820195154 0.467769537934969 0.528493792690831 0.473327711433312 0.822075308996838 0.650524940975536 0.474665662083255 0.267369378115778 0.712907197284797 0.29034599564481 0.577422440891076 0.558168153650068 0.701361788063204 0.875982714635289 0.793258479862533
"at" 0.49792531120332 0.598456893659846 0.72234762979684 0.666150880551804 0.40529062007038 0.592804578904334 0.631467448871507 0.54270365091547 0.810039931545921 0.568380116667498 0.462446614618754 0.393791319344639 0.527452654845029 0.760971934450932 0.362913478652828 0.732871926263601 0.604887490926688 0.591089244225776 0.470267657012262 0.529432633790901 0.490706513250377 0.517854200503731
"you" 0 0.744716538074472 0.338600451467269 0.693688613802961 0.684382963232617 1.69293094477068 1.84958852766235 0.0264956327888024 0.148317170564746 0.279204267836666 0.331873452844047 0.847944811727508 0.693223489224896 0.496013059584354 0.842560273687617 0.58396832263002 0.112912331639648 0.399753997539975 0.372112102433379 0.657697240946429 0.821315145519863 0.216557211119742
"this" 0.24896265560166 1.09493458570949 0.293453724604966 0.498301839782845 0.543623346681228 0.295473128670185 0.680355251364784 0.62036326426196 0.707358813462636 0.373934287281248 0.293789613993091 0.209830411037654 0.364193499773949 0.48722295473096 0.462695422358861 0.563171729943766 0.314541495281878 0.4510045100451 0.307651738232321 0.395709958245777 0.619565783308169 0.593178447849728
"her" 0.24896265560166 0.939282120093928 0.699774266365689 1.050367825437 0.293653682805485 1.51453207463019 0.676281267823678 0.0575594781273983 1.10667427267541 0.51104352595104 0.29650988819673 0.572003449267031 0.354146782538805 0.187103660450807 0.866061040351972 0.19465610754334 0.661343656746512 0.720923875905426 0.125990711847522 1.03976202821821 0.385276201384912 0.426052774050797
"on" 1.49377593360996 0.44280442804428 0.0677200902934537 0.478632030317733 0.475670428346074 0.405114100944027 0.460360140145034 0.595694916493075 0.67313177410154 0.680560402851872 0.606621147411659 0.390916930152343 0.54503441000653 0.527406291203616 0.63721750922694 0.48497654144345 1.12105814985079 0.26650266502665 0.525937971549539 0.504871326037715 0.247305669807883 0.270696513899678
"have" 0 0.446829922844683 0.564334085778781 0.612386734680497 0.677102293410994 0.657845833643054 0.497025992014992 0.435807477250302 0.216771249286937 0.433763773246248 0.383558662713201 0.554757114113251 0.906716230471693 0.372951591636843 0.260049467187536 0.456693175390144 0.282280829099121 0.536422030886975 0.413132334197688 0.474851949894932 0.682043005154371 0.689687639761787
"from" 0.580912863070539 0.590405904059041 0.767494356659142 0.346188646585977 0.451401528940663 0.338214524641344 0.327955675059073 0.420275554581004 0.661722760981175 0.630702497881039 0.459726340415114 0.36792181661397 0.54503441000653 0.573868274000126 0.688071627254725 0.412604398895285 0.556496491652553 0.526171928385951 0.426317408693359 0.502142291842917 0.528453168115791 0.40957559494386
"him" 0.16597510373444 0.40590405904059 0.18058690744921 0.251773561153438 0.451401528940663 0.403255779380064 0.323881691517966 0.214705989840295 0.239589275527667 0.463678516228748 0.329153178640407 0.454153492382869 0.374240217009092 0.517360457085452 0.232696115824106 0.38764848767178 0.459714493104283 0.515921825884926 0.465872632180372 0.564910078323281 0.339719893788723 0.454299366805546
"were" 0.16597510373444 0.5790003354579 0.406320541760722 0.350122608478999 0.322776362091979 0.26016501895488 0.285178847877455 0.470525892628732 0.616086708499715 0.456199830483123 0.527733195506107 0.528887611382581 0.386798613553022 0.347837006341433 0.210736383039381 0.346055302299271 0.403258327284458 0.413420800874675 0.369182085878785 0.349316376934203 0.464674337481127 0.388390650377798
"all" 0.0829875518672199 0.273733646427373 0.519187358916479 0.420933922553404 0.211139424827084 0.382814242176466 0.505173959097205 0.431239264700508 0.422133485453508 0.194445829386249 0.263866597753053 0.494394941075022 0.399357010096951 0.46336409870032 0.357905118544031 0.474162313246598 0.225824663279297 0.365586989203225 0.410202317643095 0.3547744453238 0.382672983807987 0.306004754843114
"so" 0.0829875518672199 0.22140221402214 0.293453724604966 0.503547122306875 0.361606601140638 0.501746822270126 0.452212173062821 0.26038811533823 0.285225328009127 0.403849030263748 0.432523598378717 0.508766887036505 0.394333651479379 0.398066176932253 0.166431659000023 0.347719029714172 0.19356399709654 0.3416700833675 0.442432499743624 0.534890702180498 0.305878065288697 0.386036767648236
"or" 0 0.424689701442469 0.203160270880361 0.482565992210755 0.468389758524451 0.241581803315246 0.517395909720525 0.360888791433688 0.342270393610953 0.249289524854166 0.20402056527298 0.416786432883012 0.452102275581454 0.377974508695925 0.223449912546327 0.4858084051509 0.395193160738769 0.256252562525625 0.353066994828521 0.166471085882706 0.296766803769459 0.508438669585481
"they" 0.24896265560166 0.214022140221402 0.090293453724605 0.251773561153438 0.38587550054605 0.217423622983721 0.488878024932779 0.613967766692249 0.353679406731318 0.501071944956873 0.60118059900438 0.589249784420811 0.627919827196464 0.34030263075281 0.193014493423638 0.552357501746914 0.427453826921526 0.249419160858275 0.293001655459353 0.335671205960211 0.33841828500026 0.562577972365417
"me" 0.746887966804979 0.921838309292184 0.632054176072235 0.646481071086691 0.424705739594709 0.559354790752992 0.370732502240691 0.0603004056572744 0.114090131203651 0.441242458991873 0.0952095971273904 0.336303535498707 0.542522730697744 0.334023984428957 0.369848131111162 0.143080557681429 0.475844826195661 0.3690036900369 0.930280256083447 0.349316376934203 0.941063154058416 0.141232963773745
"said" 0 0.179134518617913 0.203160270880361 0.272754691249557 0.752335881567771 0.622537723927748 1.68459219424754 0.0621276906771918 0.0912721049629207 0.366455601535623 0.239384129920296 0.434032768036792 0.178329230923796 0.178313555597413 0.125209002719925 0.39014407879413 0.19356399709654 0.194751947519475 0.449757541130107 0.414813197609366 0.0976206591346905 0.153002377421557
"their" 0.0829875518672199 0.201274740020127 0.203160270880361 0.237349034212355 0.330057031913603 0.104066007581952 0.266845921942475 0.715382085297665 0.513405590416429 0.351498230044374 0.843285003128315 0.385168151767749 0.489777465213242 0.332768255164187 0.233081374294014 0.474162313246598 0.669408823292201 0.23916905835725 0.269561523022605 0.384793821466583 0.286353933461759 0.416637243132547
"she" 0.33195020746888 0.482388460248239 0.203160270880361 0.608452772787474 0.218420094648708 1.20605069501226 0.741465004481382 0.0182728501991741 0.992584141471763 0.441242458991873 0.0952095971273904 0.546133946536361 0.221027779173155 0.0891567777987066 0.39604570706487 0.0915050078195189 0.338736994918945 0.410004100041 0.0747154221421351 0.824168326829135 0.232987973134795 0.207141680201492
"an" 0.16597510373444 0.311975847031198 0.338600451467269 0.427490525708441 0.279092343162238 0.275031591466587 0.199625193514218 0.330738588605051 0.262407301768397 0.186967143640624 0.345474823862245 0.252946248922104 0.326518310142161 0.271237521190431 0.360216669363476 0.454197584267794 0.282280829099121 0.358753587535875 0.268096514745308 0.229238872363071 0.389181027750299 0.353082409434362
"no" 0.0829875518672199 0.409258638040926 0.428893905191874 0.382905624254186 0.259677223637908 0.347506132461161 0.279067872565795 0.178160289441947 0.285225328009127 0.426285087500623 0.247544952531215 0.301810865191147 0.346611744612448 0.311420857663088 0.162193815831041 0.284497387947959 0.169368497459473 0.47150471504715 0.279816580963682 0.28381955625904 0.385276201384912 0.386036767648236
"one" 0.24896265560166 0.242871519624287 0.293453724604966 0.390773548040231 0.296080572746026 0.276889913030551 0.270919905483582 0.23937433760918 0.353679406731318 0.321583487061874 0.274747694567612 0.393791319344639 0.324006630833375 0.469642745024173 0.2943374710093 0.33940039263967 0.314541495281878 0.317753177531775 0.269561523022605 0.155554949103512 0.225178320404019 0.348374643975237
"who" 0.16597510373444 0.175109023817511 0.270880361173815 0.154735834458884 0.448974639000121 0.183973834832379 0.183329259349792 0.432152907210467 0.353679406731318 0.30164032507354 0.39443975952776 0.3420523138833 0.497312503139599 0.184592201921266 0.159111748071781 0.459188766512495 0.314541495281878 0.242585759190925 0.34867196999663 0.24834211172666 0.203050971000156 0.484899842289857
"are" 0 0.195907413619591 0.496613995485327 0.167849040768958 0.298507462686567 0.258306697390917 0.38906542817567 0.23937433760918 0.0912721049629207 0.249289524854166 0.19585974266206 0.30755964357574 0.735922037474255 0.215985433540529 0.16835795134956 0.544038864672412 0.379062827647391 0.1230012300123 0.10401558768807 0.150096880713915 0.252512104961733 0.416637243132547
"been" 0.16597510373444 0.315330426031533 0.316027088036117 0.272754691249557 0.298507462686567 0.301048093362075 0.209810152366984 0.247597120198809 0.262407301768397 0.234332153362916 0.348195098065885 0.445530324805979 0.291354799819159 0.21975262133484 0.134455205997704 0.242072338868 0.129042664731027 0.3553368867022 0.265166498190715 0.199219496220288 0.361847243192586 0.470776545912483
"if" 0.16597510373444 0.236162361623616 0.0677200902934537 0.363235814789074 0.337337701735226 0.397680814688174 0.364621526929031 0.103241603625333 0.125499144324016 0.266739791593957 0.225782758902097 0.29893647599885 0.251167930878585 0.236077101776857 0.105946079224552 0.182178151931588 0.266150496007743 0.23916905835725 0.227076282980999 0.201948530415086 0.259020148904045 0.386036767648236
"would" 0 0.421335122442134 0 0.289801859452655 0.310641912389273 0.393964171560247 0.517395909720525 0.253078975258561 0.296634341129492 0.181981353143541 0.274747694567612 0.382293762575453 0.389310292861807 0.29132918942676 0.132528913648167 0.170532060027285 0.120977498185338 0.249419160858275 0.208031175376141 0.316567966596621 0.286353933461759 0.371913471270861
"will" 0 0.335457900033546 0.135440180586907 0.186207529603063 0.529062007037981 0.347506132461161 0.503136967326652 0.113291671234879 0.102681118083286 0.309119010819165 0.233943581513017 0.365047427421673 0.396845330788165 0.174546367803102 0.243868611451423 0.219612018766845 0.145172997822405 0.2596692633593 0.196311109157767 0.294735693038234 0.255115322538658 0.240096038415366
"there" 0.33195020746888 0.170412613217041 0.36117381489842 0.360613173527059 0.230554544351414 0.273173269902624 0.358510551617371 0.132478163944012 0.182544209925841 0.311611906067707 0.130573161774707 0.330554757114113 0.306424875671874 0.296352106485842 0.273918772104205 0.233753701793498 0.185498830550851 0.263085964192975 0.206566167098844 0.215593701389078 0.162701098557817 0.40016006402561
"we" 0 0.0905736330090574 0.135440180586907 0.368481097313104 0.308215022448732 0.237865160187319 0.262771938401369 0.129737236414136 0.125499144324016 0.254275315351249 0.155055629607464 0.301810865191147 0.843924247752047 0.0728322973566899 0.152562354083355 0.281169933118158 0.435518993467215 0.160584939182725 0.169940960166425 0.0982452310127446 0.378768157442599 0.211849445660617
"what" 0.16597510373444 0.323381415632338 0.316027088036117 0.298981103869707 0.201431865064919 0.427413959711589 0.543876802737717 0.107809816175127 0.171135196805476 0.276711372588124 0.114251516552869 0.370796205806266 0.303913196363088 0.258680228542726 0.156414938782429 0.216284563937045 0.120977498185338 0.174251742517425 0.367717077601488 0.332942171765412 0.330608632269485 0.244803803874491
"when" 0.0829875518672199 0.171083529017108 0.135440180586907 0.192764132758101 0.257250333697367 0.308481379617929 0.417583312963416 0.203742279720791 0.159726183685111 0.214388991374582 0.312831533418569 0.33342914630641 0.283819761892802 0.199660953098512 0.14716873550465 0.167204605197484 0.38712799419308 0.2050020500205 0.184591042939393 0.311109898207025 0.24079762586557 0.357790174893487
"upon" 0.0829875518672199 0.241529688024153 0.880361173814898 0.179650926448026 0.22327387452979 0.163532297628782 0.136478448627068 0.229324269999635 0.433542498573873 0.231839258114374 0.0707271292946329 0.227076746191434 0.140654041292008 0.38927607207886 0.258893691777814 0.282833660533058 0.0725864989112025 0.4646713133798 0.271026531299902 0.100974265207543 0.364450460769511 0.449591601346421
"more" 0 0.234149614223415 0.316027088036117 0.280622615035602 0.201431865064919 0.217423622983721 0.262771938401369 0.209224134780543 0.296634341129492 0.31659769656479 0.1985800168657 0.250071859729807 0.414427085949666 0.247378665159792 0.0870684141990862 0.173859514857086 0.185498830550851 0.19816864835315 0.288606630627463 0.14190977812952 0.283750715884834 0.371913471270861
"them" 0.0829875518672199 0.167058034216706 0.0451467268623025 0.175716964555003 0.240262104113578 0.187690477960306 0.268882913713029 0.306070240836166 0.285225328009127 0.154559505409583 0.242104404123936 0.353549870652486 0.570151203094389 0.262447416337038 0.0928472912476981 0.217116427644495 0.250020162916364 0.160584939182725 0.268096514745308 0.182845291051497 0.203050971000156 0.313066403031801
"now" 0.4149377593361 0.231465951023147 0.225733634311512 0.195386774020116 0.184443635481131 0.282464877722441 0.393139411716777 0.164455651792567 0.273816314888762 0.324076382310415 0.187698920051141 0.204081632653061 0.198422665394082 0.31644377472217 0.168743209819468 0.175523242271986 0.0806516654568917 0.167418340850075 0.241726365753966 0.0818710258439538 0.192638100692456 0.110632488289433
"some" 0.16597510373444 0.321368668232137 0.18058690744921 0.194075453389108 0.191724305302755 0.131940831041403 0.167033325185366 0.158060154222856 0.353679406731318 0.196938724634791 0.146894806996545 0.218453578614544 0.178329230923796 0.377974508695925 0.170669502169005 0.256214021894653 0.19356399709654 0.1776684433511 0.14943084428427 0.188303359441094 0.167907533711668 0.171833439258056
"your" 0 0.297215699429722 0.0225733634311512 0.174405643923996 0.560611576265016 0.380955920612503 0.277030880795242 0.0310638453385959 0.0342270393610953 0.0673081717106247 0.157775903811104 0.175337740730095 0.303913196363088 0.143153136183839 0.260049467187536 0.187169334176289 0.0241954996370675 0.0956676233429001 0.0820404635286189 0.365690582102994 0.344926328942573 0.0729703646164348
"than" 0.0829875518672199 0.22140221402214 0.270880361173815 0.263575446832505 0.225700764470331 0.193265442652197 0.124256498003748 0.159887439242773 0.205362236166572 0.184474248392083 0.182258371643862 0.189709686691578 0.324006630833375 0.149431782507691 0.0554772196666744 0.138921239144179 0.112912331639648 0.1093344266776 0.191916084325876 0.161013017493109 0.229083146769407 0.322481933950051
"into" 0.24896265560166 0.234820530023482 0.248306997742664 0.295047141976685 0.138332726610848 0.0817661488143908 0.24443901246639 0.256733545298396 0.273816314888762 0.176995562646458 0.157775903811104 0.186835297499281 0.170794192997438 0.247378665159792 0.228073014185217 0.171363923734735 0.185498830550851 0.15716823834905 0.300326696845837 0.221051769778675 0.180923621596293 0.129463550125933
"could" 0.663900414937759 0.227440456222744 0.316027088036117 0.215056583485228 0.172309185778425 0.228573552367502 0.362584535158478 0.0867960384460768 0.250998288648032 0.157052400658124 0.10337041973831 0.235699913768324 0.208469382629226 0.167011992214479 0.0662644568240833 0.123947692410076 0.161303330913783 0.19816864835315 0.213891208485328 0.111890401986737 0.272036236788671 0.183602852905868
"its" 0.663900414937759 0.0959409594095941 0.270880361173815 0.22948111042631 0.0825142579784007 0.0799078272504274 0.0957386132160026 0.185469429521617 0.182544209925841 0.284190058333749 0.146894806996545 0.201207243460765 0.170794192997438 0.223519809129152 0.241942319101885 0.150567331048481 0.330671828373256 0.3690036900369 0.106945604242664 0.0764129574543569 0.162701098557817 0.249511569333616
"man" 0 0.0972827910097283 0.112866817155756 0.196698094651123 0.247542773935202 0.0576079684828663 0.0835166625926831 0.137046376493805 0.148317170564746 0.142095029166874 0.174097549032943 0.278815751652774 0.165770834379866 0.177057826332643 0.254655848608832 0.169700196319835 0.0806516654568917 0.0785841191745251 0.29886168856854 0.109161367791938 0.208257406154006 0.190664501094555
"such" 0.0829875518672199 0.109359275410936 0.112866817155756 0.184896208972056 0.247542773935202 0.178398870140489 0.0712947119693636 0.15531922669298 0.0684540787221905 0.112180286184375 0.187698920051141 0.0891060649611957 0.20595770332044 0.177057826332643 0.0439194655694505 0.148071739926131 0.0564561658198242 0.208418750854175 0.196311109157767 0.161013017493109 0.118446399750091 0.244803803874491
"then" 0.0829875518672199 0.0932572962093257 0.112866817155756 0.103594329849592 0.135905836670307 0.3252062736936 0.260734946630816 0.108723458685086 0.114090131203651 0.214388991374582 0.250265226734855 0.120724346076459 0.143165720600794 0.215985433540529 0.175292603807895 0.141416830266529 0.177433664005162 0.1503348366817 0.134780761511303 0.199219496220288 0.105430311865466 0.162417908339807
"these" 0.0829875518672199 0.257631667225763 0.135440180586907 0.144245269410824 0.196578085183837 0.0613246116107931 0.167033325185366 0.231151555019552 0.171135196805476 0.159545295906666 0.116971790756508 0.0718597298074159 0.213492741246798 0.189615118980348 0.0990114267662175 0.133098193192027 0.104847165093959 0.0820008200082001 0.0922955214696963 0.0600387522855661 0.143176966730879 0.112986371018996
"has" 0.16597510373444 0.158336128815834 0.225733634311512 0.150801872565861 0.172309185778425 0.224856909239575 0.0977756049865559 0.160801081752732 0.0570450656018254 0.159545295906666 0.220342210494818 0.112101178499569 0.301401517054303 0.0853895900043951 0.1032492699352 0.224603201011546 0.19356399709654 0.0615006150061501 0.0659253724783545 0.185574325246295 0.131462487634717 0.157710142880682
"our" 0 0.0939282120093928 0.0677200902934537 0.347499967216984 0.288799902924402 0.0743328625585371 0.0427768271816182 0.139787304023682 0.0456360524814604 0.107194495687291 0.0788879519055521 0.129347513653349 0.469684030742955 0.0602750047089847 0.0889947065486235 0.128107010947326 0.370997661101702 0.0990843241765751 0.105480595965367 0.117348470376334 0.363148851981049 0.200080032012805
"like" 0.16597510373444 0.0536732640053673 0.18058690744921 0.215056583485228 0.138332726610848 0.102207686017989 0.187403242890899 0.236633410079304 0.0228180262407302 0.072293962207708 0.214901662087538 0.100603621730382 0.110513889586578 0.228542726188234 0.285476526201429 0.0906731441120687 0.338736994918945 0.276752767527675 0.0981555545788834 0.0900581284283492 0.065080439423127 0.120048019207683
"up" 0.4149377593361 0.0704461590070446 0.135440180586907 0.182273567710041 0.106783157383813 0.13008250947744 0.315733724435753 0.20465592223075 0.125499144324016 0.132123448172708 0.0707271292946329 0.0977292325380857 0.118048927512935 0.188359389715577 0.189932425664378 0.235417429208399 0.241954996370675 0.0785841191745251 0.213891208485328 0.103703299402342 0.0911126151923778 0.0800320128051221
"any" 0 0.139550486413955 0.112866817155756 0.195386774020116 0.116490717145977 0.20069872890805 0.242402020695836 0.115118956254797 0.228180262407302 0.0523508002193748 0.108810968145589 0.149468237999425 0.241121213643442 0.155710428831544 0.0489278256782475 0.14640801251123 0.0725864989112025 0.112751127511275 0.136245769788599 0.226509838168272 0.205654188577081 0.221264976578867
"own" 0.0829875518672199 0.177121771217712 0.248306997742664 0.198009415282131 0.172309185778425 0.206273693599941 0.0875906461337896 0.0858823959361181 0.273816314888762 0.119658971929999 0.214901662087538 0.137970681230239 0.0879087758075049 0.102969799711182 0.0473867917986177 0.0648853691811134 0.104847165093959 0.133251332513325 0.155290877393457 0.114619436181535 0.131462487634717 0.157710142880682
"other" 0.0829875518672199 0.0986246226098625 0.135440180586907 0.183584888341048 0.111636937264895 0.0668995763026834 0.148700399250387 0.166282936812484 0.262407301768397 0.147080819663958 0.127852887571067 0.146593848807128 0.130607324056864 0.155710428831544 0.0770516939814922 0.186337470468838 0.09678199854827 0.167418340850075 0.169940960166425 0.10643233359714 0.126256052480866 0.207141680201492
