"ADream_1831" "BelOfPrairieEden" "ConfidenceMan" "Destiny1" "HarryandLucy3" "HistOfNY" "Klosterheim" "LastDayOfPompeii3" "Metzengerstein_1832" "MinorMorals3" "PericlesAndAspesia1" "RealLifeInLondon_2" "RecollectionsofSouthernMatron_1" "Rookwood2" "ScarletLetter" "SheppardLee2" "Spaewife1" "StLeon_1" "TheBravo2" "TheDoctor1" "Wieland" "Woodstock"
"would" 0 0.0900173110213503 0.344230399178978 0.391134289439374 0.275121623888609 0.253078975258561 0.273847558192606 0.181981353143541 0 0.272950945717361 0.306983883346124 0.205388325295194 0.201645426681723 0.151942695897547 0.333481815007886 0.208031175376141 0.330283177215875 0.286353933461759 0.294526589621302 0.340921588034752 0.372749238110271 0.281014959914042
"will" 0 0.295441431044432 0.279019050266191 0.158163592450894 0.332159033719175 0.113291671234879 0.159744408945687 0.309119010819165 0.127105179536066 0.33061663847455 0.4456217661476 0.192083818393481 0.137118890143572 0.401562839157803 0.158915521953216 0.196311109157767 0.270723915750717 0.255115322538658 0.348348707521641 0.266138788078742 0.230691710882578 0.419268309176566
"there" 0.33195020746888 0.272360069244085 0.287571358320327 0.23297069698848 0.31202818319074 0.132478163944012 0.165449566408033 0.311611906067707 0.254210359072132 0.315239120405966 0.314410912781918 0.207051388657908 0.14518470721084 0.231531727081977 0.350336491578681 0.206566167098844 0.184092262710488 0.162701098557817 0.288546354299042 0.325525129220279 0.145700027925839 0.229921330838762
"if" 0.16597510373444 0.0646278130409694 0.343161360672211 0.267168230491376 0.241570206341218 0.103241603625333 0.108397991784573 0.266739791593957 0.158881474420083 0.265262186683069 0.254994677295571 0.210377515383336 0.177447975479916 0.267708559438536 0.256431864969963 0.227076282980999 0.216579132600574 0.259020148904045 0.186882353820623 0.398108435059936 0.212479207391848 0.403489394315082
"upon" 0.0829875518672199 0.558568955568378 0.288640396827094 0.25434415542779 0.147626237208522 0.229324269999635 0.427886809675947 0.231839258114374 0.349539243724182 0.149930801168691 0.217859530116604 0.19790454016298 0.0322632682690757 0.459445770928298 0.210683457134946 0.271026531299902 0.0974606096702583 0.364450460769511 0.0717628238671192 0.39370944682723 0.26833088476342 0.170562555883657
"we" 0 0.240046162723601 0.126146543798508 0.181674396734136 0.187887938265392 0.129737236414136 0.0684618895481515 0.254275315351249 0.158881474420083 0.357527295094572 0.698140766964573 0.234491934142691 0.258106146152605 0.383474422979524 0.152895994606503 0.169940960166425 0.0920461313552439 0.378768157442599 0.293031530790737 0.171560541075553 0.117774189240053 0.299048005470024
"what" 0.16597510373444 0.108482400461627 0.410510786598533 0.279992305554962 0.446233853380305 0.107809816175127 0.148334094020995 0.276711372588124 0.0317762948840165 0.34983853606028 0.386205530661253 0.192083818393481 0.22584287788353 0.303885391795094 0.234761566521797 0.367717077601488 0.314039742270832 0.330608632269485 0.140535530073108 0.283734741009568 0.355750901518923 0.288528728895701
"when" 0.0829875518672199 0.12463935372187 0.179598469136858 0.273580268023169 0.459654420399262 0.203742279720791 0.193975353719763 0.214388991374582 0.254210359072132 0.365216054128864 0.319362265739113 0.182936969898553 0.362961768027101 0.155560379133203 0.164935049299929 0.184591042939393 0.308625263955818 0.24079762586557 0.324427766232601 0.307929176289453 0.236762545379488 0.278009452321379
"more" 0 0.131563762261973 0.282226165786492 0.269305576335307 0.204663647039087 0.209224134780543 0.279552715654952 0.31659769656479 0.349539243724182 0.24604028909734 0.324313618696309 0.198736071844337 0.129053073076303 0.177266478547138 0.240781093868509 0.288606630627463 0.12453300124533 0.283750715884834 0.251169883534917 0.279335752776861 0.22583504328505 0.243446115005748
"them" 0.0829875518672199 0.0877091748413156 0.163562891535353 0.228696005300618 0.382486160040262 0.306070240836166 0.26814240073026 0.154559505409583 0.063552589768033 0.322927879440258 0.532270442898522 0.191252286712124 0.201645426681723 0.115765863540988 0.195032686033493 0.268096514745308 0.221993610915588 0.203050971000156 0.134555294750848 0.266138788078742 0.116560022340671 0.214893792875444
"some" 0.16597510373444 0.170802077322562 0.324987706057172 0.138927479855515 0.295252474417044 0.158060154222856 0.382245549977179 0.196938724634791 0.222434064188116 0.176841457788713 0.232713588988191 0.202893730251123 0.120987256009034 0.213443310903697 0.158915521953216 0.14943084428427 0.167848827765445 0.167907533711668 0.128575059428589 0.272737270427802 0.285329221354767 0.214142415977278
"now" 0.4149377593361 0.21465666474322 0.399820401530863 0.147476863231239 0.328803891964435 0.164455651792567 0.290963030579644 0.324076382310415 0.063552589768033 0.157619560202983 0.17824870645904 0.224513553966406 0.096789804807227 0.231531727081977 0.246800621215222 0.241726365753966 0.0703882180951865 0.192638100692456 0.127080000598024 0.0901792587704828 0.203980039096174 0.185590093846975
"your" 0 0.336987882285055 0.375232515875222 0.188086434265929 0.184532796510653 0.0310638453385959 0.119808306709265 0.0673081717106247 0.0953288846520496 0.134553283100108 0.284702795038744 0.238649592549476 0.0806581706726891 0.314738441502062 0.0758460445685805 0.0820404635286189 0.389842438681033 0.344926328942573 0.177912000837233 0.103376223468602 0.360607569116451 0.456837154084861
"into" 0.24896265560166 0.300057703404501 0.169977122575955 0.109004638040481 0.201308505284348 0.256733545298396 0.262437243267914 0.176995562646458 0.317762948840165 0.211440873443026 0.15596761815166 0.173790121403625 0.104855621874496 0.0976774473627089 0.297364650927609 0.300326696845837 0.227408089230603 0.180923621596293 0.177912000837233 0.153964588144727 0.216121708089994 0.145015741346017
"than" 0.0829875518672199 0.0692440854010387 0.227705201941374 0.222283967768825 0.130850528434826 0.159887439242773 0.165449566408033 0.184474248392083 0.127105179536066 0.196063355374443 0.326789295174907 0.167969399634126 0.177447975479916 0.133854279719268 0.280509974356814 0.191916084325876 0.151605392820402 0.229083146769407 0.252664942365482 0.290333223358627 0.154199196221513 0.230672707736928
"could" 0.663900414937759 0.066935949221004 0.140044044386479 0.235108042832411 0.301962757926522 0.0867960384460768 0.228206298493838 0.157052400658124 0.0953288846520496 0.146086421651545 0.160918971108856 0.116414435389988 0.217777060816261 0.2460024600246 0.215499079012316 0.213891208485328 0.0866316530402296 0.272036236788671 0.110634353461809 0.129770152864841 0.26226005026651 0.181081832457979
"its" 0.663900414937759 0.36930178880554 0.122939428278207 0.143202171543377 0.278476765643348 0.185469429521617 0.188270196257417 0.284190058333749 0.127105179536066 0.172997078271567 0.0866486767509222 0.20372526193248 0.379093402161639 0.198972577961074 0.338297436885256 0.106945604242664 0.0433158265201148 0.162701098557817 0.288546354299042 0.189156494006379 0.129915858233873 0.0886624739835749
"man" 0 0.256203115983843 0.467169827457185 0.218009276080963 0.0872336856232176 0.137046376493805 0.131218621633957 0.142095029166874 0.0317762948840165 0.188374596340151 0.158443294630258 0.150507234325628 0.0725923536054202 0.180884161782794 0.215499079012316 0.29886168856854 0.113704044615301 0.208257406154006 0.153991059548193 0.167161552842846 0.0947050181517951 0.210385531486449
"then" 0.0829875518672199 0.108482400461627 0.223429047914306 0.194498471797722 0.248280489850696 0.108723458685086 0.142628936558649 0.214388991374582 0.063552589768033 0.126864524065816 0.121308147451291 0.130550473973058 0.169382158412647 0.177266478547138 0.138449128974393 0.134780761511303 0.221993610915588 0.105430311865466 0.133060235920283 0.171560541075553 0.0837775160573572 0.154032264124007
"such" 0.0829875518672199 0.0300057703404501 0.256569241624083 0.203047855173446 0.0905888273779567 0.15531922669298 0.0912825193975354 0.112180286184375 0.0953288846520496 0.130708903582962 0.188151412373431 0.16131714618327 0.0645265365381513 0.166413428840171 0.195032686033493 0.196311109157767 0.135361957875359 0.118446399750091 0.116614588784069 0.184757505773672 0.116560022340671 0.260727783663563
"these" 0.0829875518672199 0.140796306982112 0.115456158730837 0.130378096479791 0.214729072303305 0.231151555019552 0.193975353719763 0.159545295906666 0.063552589768033 0.0461325542057512 0.175773029980442 0.138865790786629 0.129053073076303 0.0976774473627089 0.152895994606503 0.0922955214696963 0.0487303048351291 0.143176966730879 0.0971788239867239 0.147366105795667 0.26833088476342 0.155535017920339
"has" 0.16597510373444 0.0738603577611079 0.117594235744372 0.158163592450894 0.0805234021137393 0.160801081752732 0.0570515746234596 0.159545295906666 0.0317762948840165 0.203752114408734 0.299556853910331 0.223682022285049 0.112921438941765 0.108530497069677 0.130021790688995 0.0659253724783545 0.194921219340517 0.131462487634717 0.231734118737572 0.195754976355438 0.120202523038817 0.16455154069833
"our" 0 0.106174264281593 0.0716255799533899 0.102592600508688 0.0771682603590002 0.139787304023682 0.0627567320858056 0.107194495687291 0.158881474420083 0.165308319237275 0.418389324883024 0.182936969898553 0.475883206968866 0.242384776788944 0.0794577609766081 0.105480595965367 0.119118522930316 0.363148851981049 0.158476236039888 0.127570658748488 0.169983365913478 0.17356806347632
"up" 0.4149377593361 0.0692440854010387 0.193495969724829 0.162438284138756 0.208018788793827 0.20465592223075 0.0741670470104975 0.132123448172708 0.127105179536066 0.0538213132400431 0.103978412101107 0.179610843173125 0.266171963219874 0.130236596483612 0.190217064156122 0.213891208485328 0.113704044615301 0.0911126151923778 0.0523270590697744 0.138568129330254 0.0789208484598293 0.147269872040514
"like" 0.16597510373444 0.33467974610502 0.249085972076714 0.113279329728343 0.154336520718 0.236633410079304 0.0171154723870379 0.072293962207708 0.127105179536066 0.10379824696294 0.123783823929889 0.122235157159488 0.241974512018067 0.260473192967224 0.139653034443735 0.0981555545788834 0.0974606096702583 0.065080439423127 0.156981177209323 0.182558011657319 0.0740641808623013 0.185590093846975
"time" 0 0.0438545874206578 0.118663274251139 0.170987667514481 0.174467371246435 0.150751014143186 0.176859881332725 0.0997158099416662 0.127105179536066 0.0845763493772105 0.0965513826653133 0.19790454016298 0.0725923536054202 0.0795890311844295 0.104739775832802 0.130385736679412 0.178677784395473 0.201749362211694 0.125584941767459 0.171560541075553 0.169983365913478 0.155535017920339
"any" 0 0.0300057703404501 0.169977122575955 0.239382734520273 0.187887938265392 0.115118956254797 0.193975353719763 0.0523508002193748 0.254210359072132 0.1422420421344 0.282227118560147 0.168800931315483 0.0403290853363446 0.094059764127053 0.116778830526227 0.136245769788599 0.243651524175646 0.205654188577081 0.124089882936894 0.252941823380622 0.0995616857493231 0.138253349262524
"very" 0 0.113098672821696 0.162493853028586 0.301365763994272 0.218084214058044 0.160801081752732 0.171154723870379 0.10470160043875 0.254210359072132 0.196063355374443 0.153491941673062 0.167137867952769 0.0887239877399581 0.0723536647131177 0.111963208648857 0.142105802897786 0.0541447831501435 0.0872077888269902 0.0583072943920343 0.0835807764214231 0.0218550041888758 0.0901652277799067
